연번,행정동,설치 위치,설치 장소 유형,쓰레기통 형태,수거 쓰레기 종류,통 제작연월,최초설치
37,양평2동,선유로 243,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2024-00
38,양평2동,선유로 243,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2024-00
39,여의도동,의사당대로13-2,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2025-08
40,여의도동,의사당대로13-2,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
41,영등포동,영중로95,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2025-08
42,영등포동,영중로95,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
43,영등포동,영중로98-2,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2025-08
44,영등포동,영중로98-2,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
45,영등포동,영등포동2가 11-3,도로변,일반 사각 쓰레기통,일반쓰레기,2025-08,2025-08
46,영등포동,영등포동2가 11-3,도로변,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
47,당산2동,양평로64,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-08,2025-08
48,당산2동,양평로64,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-08,2025-08
49,영등포동,영중로 9,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-07,2021-00
50,영등포동,영중로 9,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-07,2021-00
51,당산2동, 양평로 24,버스정류소,일반 사각 쓰레기통,일반쓰레기,2025-07,2024-00
52,당산2동, 양평로 24,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2025-07,2024-00
53,여의도동,여의나루로 50,"광장, 공원",일반 사각 쓰레기통,일반쓰레기,2023-00,2021-00
54,여의도동,여의나루로 50,"광장, 공원",일반 사각 쓰레기통,재활용쓰레기,2023-00,2021-00
55,여의도동,여의나루로 50,"광장, 공원",일반 사각 쓰레기통,재활용쓰레기,2023-00,2025-08
56,양평2동,양평동4가 301-7,"광장, 공원",일반 사각 쓰레기통,일반쓰레기,2021-00,2021-00
57,양평2동,양평동4가 301-7,"광장, 공원",일반 사각 쓰레기통,재활용쓰레기,2021-00,2021-00
58,대림3동,도림로47길28,"광장, 공원",일반 사각 쓰레기통,일반쓰레기,2021-00,2021-00
59,양평2동,양평로 132,버스정류소,일반 사각 쓰레기통,재활용쓰레기,2019-00,2019-00
60,양평2동,양평로 132,버스정류소,일반 사각 쓰레기통,일반쓰레기,2018-00,2018-00
61,여의도동,여의나루로 76,버스정류소,일반 사각 쓰레기통,일반쓰레기,2018-00,2018-00
