연번,자치구명,도로(가로)명,세부 위치,설치 장소 유형,수거 쓰레기 종류,형태,설치연도,수거 담당자,데이터기준일
163,강북구,오현로,오현로 207 벌말어린이공원 앞 버스정류장(09-228),정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
164,강북구,오현로,오현로 156 해모로아파트 상가 앞 버스정류장(09-233),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
165,강북구,오현로,오현로 156 해모로아파트 상가 앞 버스정류장(09-233),정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
166,강북구,월계로,월계로 83 cu미아창문점 앞버스정류장(09-188) ,정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
167,강북구,월계로,월계로 83 cu미아창문점 앞버스정류장(09-188) ,정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
168,강북구,덕릉로,덕릉로 79 신일병원 버스정류장(09-144),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
169,강북구,4.19로,4.19로 88-1 백련사 앞 버스정류장(09-875),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
170,강북구,삼각산로,삼각산로 16(인수동 환경미화원 후생관) 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
171,강북구,인수봉로,인수봉로 239 국립재활원 버스정류장(09-583),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
172,강북구,인수봉로,인수봉로 239 국립재활원 버스정류장(09-583),정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
173,강북구,인수봉로,인수봉로14길 4 미송경로당 버스정류장(09-501),정류소(버스 가로변),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
174,강북구,인수봉로,인수봉로14길 4 미송경로당 버스정류장(09-501),정류소(버스 가로변),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
175,강북구,삼각산로,삼각산로 16 도로변,도로변(횡단보도 포함),일반쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
176,강북구,삼각산로,삼각산로 16 도로변,도로변(횡단보도 포함),재활용쓰레기,일반 사각,2019년 설치,환경공무관,2025-08-02
177,강북구,삼양로,삼양로 685 투썸플레이스 북한산우이역점 앞,도로변(횡단보도 포함),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
178,강북구,도봉로,도봉로 55 중앙버스정류소 미아사거리역(09-011),정류소(버스 중앙차로),일반쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
179,강북구,도봉로,도봉로 55 중앙버스정류소 미아사거리역(09-011),정류소(버스 중앙차로),재활용쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
180,강북구,도봉로,도봉로 117 중앙버스정류소 도봉세무서 (09-009),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
181,강북구,도봉로,도봉로 117 중앙버스정류소 도봉세무서(09-009),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
182,강북구,도봉로,도봉로 172 중앙버스정류소 미아역(09-008),정류소(버스 중앙차로),일반쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
183,강북구,도봉로,도봉로 172 중앙버스정류소 미아역(09-008),정류소(버스 중앙차로),재활용쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
184,강북구,도봉로,도봉로 181 중앙버스정류소 미아역(09-007),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
185,강북구,도봉로,도봉로 181 중앙버스정류소 미아역(09-007),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
186,강북구,도봉로,도봉로 181 중앙버스정류소 미아역(09-007),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
187,강북구,도봉로,도봉로 181 중앙버스정류소 미아역(09-007),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
188,강북구,도봉로,도봉로 242 중앙버스정류소 수유시장(09-006),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
189,강북구,도봉로,도봉로 242 중앙버스정류소 수유시장(09-006),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
190,강북구,도봉로,도봉로 242 중앙버스정류소 수유시장(09-006),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
191,강북구,도봉로,도봉로 242 중앙버스정류소 수유시장(09-006),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
192,강북구,도봉로,도봉로 255 중앙버스정류소 수유시장(09-005),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
193,강북구,도봉로,도봉로 255 중앙버스정류소 수유시장(09-005),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
194,강북구,도봉로,도봉로 255 중앙버스정류소 수유시장(09-005),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
195,강북구,도봉로,도봉로 255 중앙버스정류소 수유시장(09-005),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
196,강북구,도봉로,도봉로 317 중앙버스정류소 수유역(09-003),정류소(버스 중앙차로),일반쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
197,강북구,도봉로,도봉로 317 중앙버스정류소 수유역(09-003),정류소(버스 중앙차로),재활용쓰레기,서울형,2025년 설치,환경공무관,2025-08-02
198,강북구,덕릉로,덕릉로 186 도로변,도로변(횡단보도 포함),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
199,강북구,도봉로,도봉로 384 중앙버스정류소 수유3동우체국(09-002),정류소(버스 중앙차로),일반쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
200,강북구,도봉로,도봉로 384 중앙버스정류소 수유3동우체국(09-002),정류소(버스 중앙차로),재활용쓰레기,일반 사각,2020년 설치,환경공무관,2025-08-02
